ds,yhat,yhat_lower,yhat_upper
2020-03-02,23.236534822862502,5.277088650705538,41.76598373322357
2020-03-03,26.406369086712267,8.741967819413171,45.2521196394951
2020-03-04,25.067436670193846,6.417438199044885,43.67516509453835
2020-03-06,26.370052528338118,7.332099579923131,45.68396002588857
2020-03-07,28.091896296919952,9.40982715109999,46.802362119538344
2020-03-12,31.938047565061343,13.972167288790004,51.85805818450492
2020-03-15,31.095226134647973,11.462256683972662,48.01778300265873
2020-03-16,34.75638319053784,17.23986168343537,53.057237438203664
2020-03-19,35.225655740292055,17.14143097476017,52.48334507209921
2020-03-20,34.83789677821688,15.765482439514948,53.27396077053322
2020-03-21,35.69478578740959,18.281064174315265,54.32992676401111
2020-03-22,32.61391802863116,14.689262606575028,50.885072322541426
2020-03-23,35.83838348702778,17.191871710327415,53.80651754360983
2020-03-24,38.06166122809486,18.82306419011731,56.03673594387277
2020-03-25,35.917848950349295,16.549668309659875,53.29303380840822
2020-03-26,36.140947029020644,17.045739725118327,54.04842022519777
2020-03-27,36.173633775359335,17.06601257987206,54.582136293243074
2020-03-28,37.6860941803634,19.770223949237405,56.85754006283114
2020-03-29,35.45755707859673,16.601516730909054,53.828727858064546
2020-03-30,39.668509049043465,22.072247102136664,57.71828847884325
2020-04-01,41.77742939258307,22.406960330128005,59.938399849583504
2020-04-02,42.8443850467645,24.187176509755545,60.87068764346013
2020-04-03,43.47566940892923,25.753101940754185,61.8297847965367
2020-04-04,45.25963337356857,26.605627382339684,63.525508603702555
2020-04-05,42.9190349031902,23.701005443334743,61.0065625737231
2020-04-06,46.6113727151036,28.173582194046297,64.4469569915659
2020-04-07,48.96292063789882,30.073579824085023,67.70436920413644
2020-04-08,46.56717503714361,29.72034839880995,66.08709487143511
2020-04-10,45.18466368778409,27.40886324295848,63.09548230802123
2020-04-11,45.406026325940104,27.001184753805305,64.027811552281
2020-04-12,41.69405699390782,23.306358047371827,60.88641994252533
2020-04-13,44.356841306629505,25.13610138589955,62.39818533485907
2020-04-14,46.14999938285892,28.168788911804175,65.92447723517743
2020-04-15,43.7611799157274,26.079818984106392,62.55545032654354
2020-04-16,43.96441370950587,26.032235024450806,63.46512731083425
2020-04-17,44.22523376881944,26.299485100721505,63.10137715458986
2020-04-18,46.21746151885796,28.041834704958507,66.43377778342543
2020-04-19,44.70448403190299,25.782332113110268,63.050324897341966
2020-04-20,49.832977260058485,30.832130394835584,67.88922439133088
2020-04-22,54.17758586887609,37.01767313578245,73.65068058242072
2020-04-24,58.228505544908835,40.27873043213164,76.58554495926654
2020-04-25,61.075390609192695,42.90490844318005,79.79508858951709
2020-04-26,59.65128233348689,40.8584454717439,78.6013565300126
2020-04-27,64.07522221064278,45.86497043830773,82.40187397619408
2020-04-28,66.94921533049391,48.03588943749972,85.1030280737569
2020-04-29,64.85709719888581,47.15483094548652,82.66079820827673
2020-04-30,64.52929560910599,44.2042564015735,82.80907177867743
2020-05-01,63.453352308711715,44.78524579093855,82.10817719012627
2020-05-05,62.558874378943095,43.8505973261539,81.42906452046803
